time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.073589,0.0041,-0.0257,-0.0009,0.026
2.078491,0.0231,-0.0064,0.0229,0.033
2.083706,-0.0010,-0.0064,-0.0010,0.007
2.088184,-0.0057,0.0080,0.0085,0.013
2.093118,0.0134,-0.0110,0.0084,0.019
2.098446,-0.0153,-0.0014,-0.0012,0.015
2.103596,0.0133,0.0033,0.0036,0.014
2.125552,-0.0153,-0.0014,0.0083,0.017
2.126315,0.0276,-0.0204,-0.0108,0.036
2.126663,-0.0107,0.0037,-0.0344,0.036
2.127009,0.0085,0.0084,-0.0056,0.013
2.128067,-0.0201,0.0225,-0.0056,0.031
2.133582,-0.0293,-0.0108,0.0039,0.032
2.138359,-0.0243,-0.0154,0.0134,0.032
2.143185,-0.0147,-0.0010,-0.0104,0.018
2.148554,0.0043,-0.0058,0.0039,0.008
2.153236,-0.0242,0.0085,-0.0246,0.036
2.158899,-0.0098,-0.0106,-0.0244,0.028
2.163233,-0.0097,0.0038,-0.0005,0.010
2.168152,-0.0144,-0.0009,-0.0052,0.015
2.173181,-0.0237,0.0181,-0.0052,0.030
2.178449,0.0002,-0.0201,-0.0051,0.021
2.184368,0.0001,0.0229,0.0044,0.023
2.188341,-0.0093,-0.0105,0.0328,0.036
2.193321,0.0144,0.0181,-0.0054,0.024
2.198045,-0.0046,-0.0059,0.0089,0.012
2.203550,0.0048,0.0037,-0.0102,0.012
2.208466,0.0000,-0.0058,-0.0006,0.006
2.223683,-0.0095,-0.0057,-0.0101,0.015
2.224228,-0.0046,0.0181,0.0137,0.023
2.224406,0.0049,0.0037,-0.0006,0.006
2.227930,-0.0046,-0.0059,-0.0149,0.017
2.232805,0.0192,-0.0058,-0.0100,0.022
2.238036,-0.0045,-0.0105,0.0186,0.022
2.242937,-0.0091,0.0038,0.0137,0.017
2.248292,0.0098,0.0039,0.0230,0.025
2.253043,0.0097,0.0086,-0.0151,0.020
2.257927,0.0097,0.0037,-0.0150,0.018
2.263819,0.0333,0.0038,-0.0054,0.034
2.268474,0.0046,0.0227,0.0184,0.030
2.273931,-0.0145,-0.0012,-0.0055,0.016
2.278255,0.0092,0.0179,-0.0149,0.025
2.283103,0.0044,0.0177,0.0137,0.023
2.287938,-0.0146,0.0033,-0.0102,0.018
2.295065,0.0045,0.0129,0.0184,0.023
